OBJECTID_1,OBJECTID,Beats,District,Beats_0,Area_sq_mi,Perimet_mi,Shape_STAr,Shape_STLe,Shape_ST_1,Shape_ST_2,Shape_Leng
50,48,11H20,11,11H20,3.931116,9.77086,109141458.203,51723.433608,109592788.633,51590.138778,51590.138778
51,49,11H30,11,11H30,2.842781,8.83784,78845377.1602,45753.196267,79251857.2617,46663.794282,46663.794282
52,50,11H40,11,11H40,6.162679,46.893876,171804948.105,247599.667041,171804948.105,247599.667041,247438.750535
53,51,11H50,11,11H50,2.110171,7.918032,59223906.1797,41891.204057,58827955.7305,41807.208249,41626.076622
54,52,12D10,12,12D10,8.557119,15.59981,238557844.352,82366.995097,238557844.352,82366.995097,81958.942118
55,53,12D20,12,12D20,3.82763,11.952459,106707781.328,63108.982733,106707781.328,63108.982733,63138.246756
56,54,12D30,12,12D30,4.001215,10.852349,111547038.344,57300.402197,111547038.344,57300.402197,57222.595868
57,55,12D40,12,12D40,9.687478,22.938952,270070305.109,121117.664081,270070305.109,121117.664081,121102.574102
58,56,12D50,12,12D50,8.908893,15.385496,248364682.711,81235.420464,248364682.711,81235.420464,81186.168445
59,57,12D60,12,12D60,6.404741,11.881024,178553224.652,62731.808496,178553224.652,62731.808496,63438.692273
60,58,12D70,12,12D70,5.403477,12.755729,150639679.664,67350.248262,150639679.664,67350.248262,67017.812424
61,59,13D10,13,13D10,5.243371,11.367931,147137884.16,62572.294442,146176203.844,60022.675239,60022.675239
62,60,13D20,13,13D20,6.668709,12.238755,185051601.176,64464.609132,185912182.004,64620.623808,64620.623808
63,61,13D30,13,13D30,3.074025,15.833333,85698567.8477,83599.997252,85698567.8477,83599.997252,83599.997252
64,62,13D40,13,13D40,5.069354,12.703216,141324919.898,67072.978614,141324919.898,67072.978614,67077.681974
65,63,14D10,14,14D10,3.660579,9.06177,102050682.512,47846.145921,102050682.512,47846.145921,47846.145921
66,64,14D20,14,14D20,7.256464,15.677077,202297787.957,82774.968577,202297787.957,82774.968577,82774.968577
67,65,14D30,14,14D30,4.205376,10.056703,117238684.02,53099.390061,117238684.02,53099.390061,53099.390061
68,66,14D40,14,14D40,6.628472,13.149789,184790467.082,69430.886449,184790467.082,69430.886449,69356.097188
69,67,14D50,14,14D50,8.714588,15.457976,242947789.184,81618.111582,242947789.184,81618.111582,81622.231041
70,68,15E10,15,15E10,4.349866,10.084107,121266819.844,53244.084664,121266819.844,53244.084664,53244.084664
71,69,15E20,15,15E20,3.583845,10.992032,99911464.6094,58037.928551,99911464.6094,58037.928551,58037.928551
72,70,15E30,15,15E30,6.291333,13.526459,175391594.445,71419.705171,175391594.445,71419.705171,71419.705172
73,71,15E40,15,15E40,10.007917,15.298455,279003608.48,80775.842906,279003608.48,80775.842906,80775.842906
74,72,16E10,16,16E10,5.405636,9.831858,150699887.992,51912.212514,150699887.992,51912.212514,51917.37189
75,73,16E20,16,16E20,8.157818,13.294335,227425994.582,70194.089218,227425994.582,70194.089218,70195.257199
76,74,16E30,16,16E30,7.007726,14.74893,195363402.008,77874.348349,195363402.008,77874.348349,77881.463003
77,75,16E40,16,16E40,7.546071,15.375315,210371549.203,81181.664506,210371549.203,81181.664506,81161.259711
78,76,17E10,17,17E10,3.33582,10.570751,92996939.2305,55813.562663,92996939.2305,55813.562663,56744.273746
79,77,17E20,17,17E20,3.935002,10.175616,109701119.059,53727.254786,109701119.059,53727.254786,53848.004225
80,78,17E30,17,17E30,3.803715,10.180079,106041069.309,53750.817075,106041069.309,53750.817075,52435.712605
81,79,17E40,17,17E40,4.712843,13.660102,131385988.102,72125.337729,131385988.102,72125.337729,72028.817812
82,80,18F10,18,18F10,1.923812,8.038432,53632575.6719,42442.919292,53632575.6719,42442.919292,42816.58305
83,81,18F20,18,18F20,3.487974,9.842841,97238737.4961,51970.201009,97238737.4961,51970.201009,48814.269677
84,82,18F30,18,18F30,3.78257,11.47525,105451564.535,60589.320624,105451564.535,60589.320624,60819.190662
85,83,18F40,18,18F40,2.906205,11.333031,81020018.1055,59838.404837,81020018.1055,59838.404837,59799.657856
86,84,18F50,18,18F50,2.95596,10.068346,82407094.125,53160.865074,82407094.125,53160.865074,52928.757549
87,85,18F60,18,18F60,3.618499,8.744305,100877545.43,46169.929246,100877545.43,46169.929246,46063.369786
88,86,19G10,19,19G10,2.736204,9.178396,76280692.375,48461.929731,76280692.375,48461.929731,48241.454043
89,87,19G20,19,19G20,3.29219,8.039993,91780628.9141,42451.161798,91780628.9141,42451.161798,42451.161798
90,88,19G30,19,19G30,2.489391,6.975533,69399973.2461,36830.812002,69399973.2461,36830.812002,36852.432114
91,89,19G40,19,19G40,4.555986,10.835762,127013081.133,57212.825693,127013081.133,57212.825693,57107.165541
92,90,19G50,19,19G50,2.317075,7.0425,64596074.332,37184.400563,64596074.332,37184.400563,35702.152768
93,91,20G10,20,20G10,3.066008,8.576972,85475057.9414,45286.413599,85475057.9414,45286.413599,45286.413599
94,92,20G20,20,20G20,3.276217,8.222573,91335310.1328,43415.183016,91335310.1328,43415.183016,43415.183016
95,93,20G30,20,20G30,3.979535,8.49663,110942624.992,44862.207348,110942624.992,44862.207348,44862.207348
96,94,20G40,20,20G40,4.165949,9.562803,116139527.625,50491.599371,116139527.625,50491.599371,50491.599371
97,95,20G70,20,20G70,2.383021,7.859801,66434536.3281,41499.751085,66434536.3281,41499.751085,40586.841425
98,96,20G80,20,20G80,25.408409,34.560641,708342954.855,182480.187024,708342954.855,182480.187024,177129.593052
99,97,21I10,21,21I10,0.006769,0.514055,188710.625,2714.208274,188710.625,2714.208274,2714.208274
100,98,21I20,21,21I20,0.006818,0.334584,190063.835938,1766.605257,190063.835938,1766.605257,1766.605257
101,99,21I30,21,21I30,0.012315,0.454351,343308.757813,2398.971136,343308.757813,2398.971136,2398.971136
102,100,21I40,21,21I40,0.009047,0.599261,252210.839844,3164.099794,252210.839844,3164.099794,3164.099794
103,101,21I50,21,21I50,13.92747,21.579388,388274021.488,113939.166442,388274021.488,113939.166442,113946.623693
104,102,21I60,21,21I60,0.016006,0.888013,446216.300781,4688.708988,446216.300781,4688.708988,4688.708988
105,103,21I70,21,21I70,0.016607,0.613721,462967.109375,3240.446722,462967.109375,3240.446722,3240.446722
106,106,5F40,5,05F40,3.280213,13.737605,90425778.3516,59909.184322,91446728.5469,72534.556013,73530.167158
107,107,5F20,5,05F20,5.926944,11.498162,165233055.449,60710.293791,165233055.449,60710.293791,60659.911234
108,108,4F10,4,04F10,4.119258,8.786382,114837852.953,46392.096597,114837852.953,46392.096597,46657.650385
109,109,20G50,20,20G50,5.908099,18.624561,164707684.223,98337.683864,164707684.223,98337.683864,94209.005496
110,110,4F20,4,04F20,5.860395,12.883003,163377790.848,68022.256604,163377790.848,68022.256604,68080.303325
111,111,20G60,20,20G60,4.552542,22.726945,126917072.156,119998.270686,126917072.156,119998.270686,120177.935501
112,112,4F30,4,04F30,26.311837,29.346987,733528996.262,154952.093602,733528996.262,154952.093602,155350.119581
113,113,24C10,24,24C10,5.445006,16.54875,151797446.074,87377.401241,151797446.074,87377.401241,87429.255262
114,114,24C20,24,24C20,6.829734,18.3572,190401283.797,96926.017001,190401283.797,96926.017001,96810.461787
115,115,24C30,24,24C30,9.787303,22.415527,272853257.574,118353.980604,272853257.574,118353.980604,118354.175454
116,116,24C40,24,24C40,28.524742,97.454784,795221000.098,514561.261928,795221000.098,514561.261928,520243.897405
117,117,24C50,24,24C50,7.621063,38.641655,212462181.91,204027.937307,212462181.91,204027.937307,206119.199784
118,118,24C60,24,24C60,7.708585,31.4328,214902168.078,165965.186335,214902168.078,165965.186335,150147.012926
